************************************************************************************************
*	RW CAS - LIST OF 126 O-C computed on GCVS ephemeris
*	HJD MAX = 2448899.304 + 14.79189 x E (GCVS)
*	Reference: Boistel, G., GEOS NOTE CIRCULAIRE NC1347 (2024)
*	Period Rate computed: -11.1 s/yr
*	CONTENTS:
*	col1: star name
*	col2: Time of maximum observed (HJD+2400000)
*	col3: period shift (see paper)
*	col4: number of cycle computed on GCVS ephemeris
*	col5: O-C computed on GCVS ephemeris
*	col6: type of photometry (un.=unknown; vis.=visual; V=Johnson V filter; B=Johnson B filter; pg=photographic; pe=photoelectric
*	Update : 07 july 2024 (C) GEOS/G. Boistel
*columns
*1	2		3	4	5	6	7	8		9
*************************************************************************************************
Star	JJ Max 
	(+2400000)	P shft	E GCVS	O-C 	Type Ph	Source	Reference	Observer
RW Cas	38652.390	0	-692	-0.93	pg	ADS	Szabados 1981	Smykov
RW Cas	39776.710	0	-616	-0.79	pe	ADS	Szabados 1981	Abaffy
RW Cas	40708.910	0	-553	-0.48	pg	ADS	Szabados 1981	Smykov
RW Cas	41596.780	0	-493	-0.12	pg	ADS	Szabados 1981	Smykov
RW Cas	42085.860	0	-460	0.83	vis	ADS	Szabados 1981	Small
RW Cas	42219.500	0	-451	1.34	vis	BAV 	BAV DB		Surawski
RW Cas	42292.700	0	-446	0.58	vis	BAV 	BAV DB		Hopp
RW Cas	42499.160	0	-432	-0.05	pg	ADS	Szabados 1981	Smykov
RW Cas	43667.500	0	-353	-0.27	pg	ADS	Szabados 1981	Smykov
RW Cas	43682.480	0	-352	-0.08	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	43829.972	0	-342	-0.51	un.	ADS	Szabados 1981	Szabados
RW Cas	43830.363	0	-342	-0.11	pe	ADS	Szabados 1981	Szabados 1981
RW Cas	44333.480	0	-308	0.08	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	44924.970	0	-268	-0.11	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	44939.844	0	-267	-0.03	V	CDB	This paper	Moffett et al.
RW Cas	47425.160	0	-99	0.25	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	47425.365	0	-99	0.46	V	CDB	This paper	Berdnikov 1992
RW Cas	47528.730	0	-92	0.28	vis	BAV 	BAV DB		Kriebel 
RW Cas	47854.040	0	-70	0.17	vis	BAV 	BAV DB		Kriebel 
RW Cas	48179.730	0	-48	0.44	vis	BAV 	BAV DB		Kriebel 
RW Cas	48356.619	0	-36	-0.18	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	48416.089	0	-32	0.13	V	Hipp	This paper	Hipparcos
RW Cas	48549.500	0	-23	0.41	vis	BAV 	BAV DB		Thomas
RW Cas	48623.550	0	-18	0.50	vis	BAV 	BAV DB		Kriebel 
RW Cas	48623.550	0	-18	0.50	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	48874.420	0	-1	-0.09	un.	BAV 	Meyer BAVJ 2023	un.
RW Cas	48874.438	0	-1	-0.07	V	CDB	This paper	Berdnikov 1993
RW Cas	48978.650	0	6	0.59	vis	BAV 	BAV DB		Kriebel 
RW Cas	49289.650	0	27	0.96	vis	BAV 	BAV DB		Kriebel 
RW Cas	49644.200	0	51	0.51	vis	BAV 	BAV DB		Kriebel 
RW Cas	50368.600	0	100	0.11	vis	BAV 	BAV DB		Kriebel 
